id;name;input;output;url
1;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;https://evan.net
2;azure;SMS Enhanced;Bacon Designer;https://junius.biz
3;Executive;Customer Human deposit;even-keeled Saint Helena Pound;https://spencer.org
4;drive THX bypassing;Cheese Dynamic Home Loan Account;transform;https://malachi.org
5;clear-thinking;Latvia;Ports Manager Fish;http://dave.info
6;Fish;payment calculating;local area network Benin;https://fredy.name
7;Ergonomic;Strategist target;Investor users dot-com;https://kirsten.net
8;CSS Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;http://tavares.org
9;back up Factors;architectures;Wisconsin Facilitator Incredible;http://gerda.biz
10;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;http://brooke.biz
