id;name;command;origen;destino;parametro
1;Industrial;DELETE;National Awesome sky blue;Tactics;scale interactive generating
2;Specialist Home Loan Account;DELETE;Small;deliverables reinvent 24 hour;overriding
3;monitor 1080p Checking Account;DELETE;archive Fantastic Plastic Chicken;payment;withdrawal COM
4;embrace Developer;ROBOCOPY;Poland;Small partnerships;Outdoors
5;Harbor Montana;DELETE;User-centric;Money Market Account;Salad Web virtual
6;Refined Squares;DELETE;Ghana back-end National;Direct;Profit-focused
7;Jewelery cutting-edge;DELETE;supply-chains magenta;encompassing;Directives
8;sky blue;DELETE;Functionality;Moroccan Dirham;capability zero tolerance Computers
9;Analyst paradigms;DELETE;Public-key Granite;Way Dominican Republic;Bulgarian Lev navigate
10;Re-contextualized;DELETE;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing
